Episode,Season,Year,Title,Character,Gender,Dialogue,Flattened Dialogue,Dialogue Length
tas_000,tas_s1,1973,Beyond The Farthest Star,KIRK,m,"['Situation, Mister Scott?', 'Mister Sulu?', 'Stand by to reverse course.', 'Reverse course.', ""Why aren't our sensors picking it up? Forward scanners, Mister Sulu."", 'Full reverse thrust.', 'How much time do we have?', 'Sulu, flank speed ahead. Our only chance is to try to get into orbit around that thing.', 'Steady as she goes, Mister Sulu. Maintain orbit.', 'Slingshot effect, Mister Spock? Do we have enough power?', 'Put us alongside, Mister Sulu.', ""It's been damaged. I'll bet she was pulled in like we were."", ""You're sure, Mister Spock?"", 'Can you identify that metal, or the design of the ship?', 'A civilisation that advanced three hundred million years ago before life even emerged on Earth.', ""Mister Spock, any indication of that ship's power source?"", ""We'll board her, Mister Spock. Scotty, Bones, you'll come with us. We'll need life-support belts. Mister Sulu, have the Transporter room stand by."", 'Activate life-support belts. Energise.', 'Like a spider spins his web.', ""Look, every pod, they've all been burst open."", 'Kirk to Enterprise.', 'Lieutenant, are you still getting that radio signal from this ship?', ""All right. Lock on us with the transporter and be ready to transport. We're going inside."", 'What do you make of it, Spock?', ""You mean it's functioning after all the milleniums this ship has been here?"", ""Compared to the beings that built this ship, we are primitive people, even you, Mister Spock. All right, let's keep going."", 'Tricorder analysis, Mister Spock.', 'Enterprise, do you read me? Sulu?', ""No energy registering. Something's drained them."", 'For the moment.', 'This is, was, the control centre of the starship. These must be control and navigational instruments.', 'Will it hold?', ""I'm not sure, but I think"", ""It could be a ship's log or a warning. It seems to keep repeating."", 'Anything?', 'Get out of here! Hurry!', 'Transport it back out.', 'Status?', ""So, we're all just fine, but whatever was on that ship used our transporter beam to come aboard with us, and now it's here."", 'Until we learn more about it, Scotty, perhaps we should be ready to do the same. Take two of your men and arm the self-destruct device in the Engineering core.', ""Mister Spock, any change in ship's readings?"", 'Like the beating of a heart.', 'Bridge to Sickbay.', 'Bones, get down to the Engineering core on the double.', 'Get on those life-support systems now.', 'Override systems, Mister Spock. Open the core hatch.', 'All right, get the cutter beams on that hatch. Move.', 'And mutual override did not work?', 'The cutter beams.', 'Spock, can you rig a low-frequency shield like the one on the alien ship, on our navigation console?', 'Do it.', 'Do you get a magnetic flux reading there now?', 'No. It must be held by the magnetic force of the dead star, and it needs a starship to break free and a crew to man it.', 'You have shut down life-support systems and endangered members of my crew. Restore those systems first.', 'And if I refuse?', ""Stop! You'll hurt him."", ""I'll obey. Let him go."", 'Mister Scott, start repairs. Install the auxiliary controls.', 'What are we dealing with, Spock?', ""A slingshot effect to yank us out of orbit. Can you compute it in your mind? If we try to use ship's computers"", 'The engineer will need aid from my first officer to complete repairs. Is that permitted? I guess it is.', 'Plot the course, Mister Sulu.', ""I'm aware of that, Mister Spock."", 'The auxiliary warp drive controls can only be operated manually.', 'Controls activated.', 'Standby to activate warp drive unit.', 'Activate warp drive!', 'Is it gone?']","Situation, Mister Scott? Mister Sulu? Stand by to reverse course. Reverse course. Why aren't our sensors picking it up? Forward scanners, Mister Sulu. Full reverse thrust. How much time do we have? Sulu, flank speed ahead. Our only chance is to try to get into orbit around that thing. Steady as she goes, Mister Sulu. Maintain orbit. Slingshot effect, Mister Spock? Do we have enough power? Put us alongside, Mister Sulu. It's been damaged. I'll bet she was pulled in like we were. You're sure, Mister Spock? Can you identify that metal, or the design of the ship? A civilisation that advanced three hundred million years ago before life even emerged on Earth. Mister Spock, any indication of that ship's power source? We'll board her, Mister Spock. Scotty, Bones, you'll come with us. We'll need life-support belts. Mister Sulu, have the Transporter room stand by. Activate life-support belts. Energise. Like a spider spins his web. Look, every pod, they've all been burst open. Kirk to Enterprise. Lieutenant, are you still getting that radio signal from this ship? All right. Lock on us with the transporter and be ready to transport. We're going inside. What do you make of it, Spock? You mean it's functioning after all the milleniums this ship has been here? Compared to the beings that built this ship, we are primitive people, even you, Mister Spock. All right, let's keep going. Tricorder analysis, Mister Spock. Enterprise, do you read me? Sulu? No energy registering. Something's drained them. For the moment. This is, was, the control centre of the starship. These must be control and navigational instruments. Will it hold? I'm not sure, but I think It could be a ship's log or a warning. It seems to keep repeating. Anything? Get out of here! Hurry! Transport it back out. Status? So, we're all just fine, but whatever was on that ship used our transporter beam to come aboard with us, and now it's here. Until we learn more about it, Scotty, perhaps we should be ready to do the same. Take two of your men and arm the self-destruct device in the Engineering core. Mister Spock, any change in ship's readings? Like the beating of a heart. Bridge to Sickbay. Bones, get down to the Engineering core on the double. Get on those life-support systems now. Override systems, Mister Spock. Open the core hatch. All right, get the cutter beams on that hatch. Move. And mutual override did not work? The cutter beams. Spock, can you rig a low-frequency shield like the one on the alien ship, on our navigation console? Do it. Do you get a magnetic flux reading there now? No. It must be held by the magnetic force of the dead star, and it needs a starship to break free and a crew to man it. You have shut down life-support systems and endangered members of my crew. Restore those systems first. And if I refuse? Stop! You'll hurt him. I'll obey. Let him go. Mister Scott, start repairs. Install the auxiliary controls. What are we dealing with, Spock? A slingshot effect to yank us out of orbit. Can you compute it in your mind? If we try to use ship's computers The engineer will need aid from my first officer to complete repairs. Is that permitted? I guess it is. Plot the course, Mister Sulu. I'm aware of that, Mister Spock. The auxiliary warp drive controls can only be operated manually. Controls activated. Standby to activate warp drive unit. Activate warp drive! Is it gone?",68
tas_000,tas_s1,1973,Beyond The Farthest Star,SCOTT,m,"[""We've picked up speed, sir, rapidly. I've cut back power, but we continue to gain momentum."", ""Would you look at this now? This metal, it isn't cast or rolled. It was drawn into filaments and spun."", 'Aye, from the inside, from the looks of them.', 'The structure of the ship, those huge arches, thrusting up. The whole ship is designed to receive and store energy.', 'I feel it too, Captain.', 'We can cut our way out of here.', 'Something to shield this room. But shield it from what?', 'But nothing, no form of life could survive three hundred million years.', 'No damage to hull or engines, Captain.', 'That alien commander, sir. The message said that they had to destroy their own ship.', 'Aye, sir.', ""It's no use, sir. The mechanism is frozen. They've already tried."", 'I thank you, sir.', 'Sir, we cannot get into the core.', 'Drained of all energy, sir.', 'Aye, Captain.', 'Auxiliary controls ready to activate, Captain.']","We've picked up speed, sir, rapidly. I've cut back power, but we continue to gain momentum. Would you look at this now? This metal, it isn't cast or rolled. It was drawn into filaments and spun. Aye, from the inside, from the looks of them. The structure of the ship, those huge arches, thrusting up. The whole ship is designed to receive and store energy. I feel it too, Captain. We can cut our way out of here. Something to shield this room. But shield it from what? But nothing, no form of life could survive three hundred million years. No damage to hull or engines, Captain. That alien commander, sir. The message said that they had to destroy their own ship. Aye, sir. It's no use, sir. The mechanism is frozen. They've already tried. I thank you, sir. Sir, we cannot get into the core. Drained of all energy, sir. Aye, Captain. Auxiliary controls ready to activate, Captain.",17
tas_000,tas_s1,1973,Beyond The Farthest Star,SULU,m,"[""She's not answering the helm, sir. Two minutes right ascension off course and drifting farther, Captain."", 'Standing by, sir.', ""Captain, we're still gaining speed."", ""No good, sir. We're still falling toward it."", 'Aye, aye, Captain.', 'Aye, aye, Captain.', 'Aye, aye, sir.', 'Yes, sir.', 'Good work, Mister Kyle. I thought we lost them when we were cut off so long.', ""Bridge to Captain Kirk. Something's activating the ship's phaser banks. They're locking on the alien starship."", 'Phaser banks were off, Captain. They activated themselves.', 'No, sir.', ""That's the heart of the galaxy, Captain."", ""Captain, we're dropping out of orbit! We're falling into the dead sun.""]","She's not answering the helm, sir. Two minutes right ascension off course and drifting farther, Captain. Standing by, sir. Captain, we're still gaining speed. No good, sir. We're still falling toward it. Aye, aye, Captain. Aye, aye, Captain. Aye, aye, sir. Yes, sir. Good work, Mister Kyle. I thought we lost them when we were cut off so long. Bridge to Captain Kirk. Something's activating the ship's phaser banks. They're locking on the alien starship. Phaser banks were off, Captain. They activated themselves. No, sir. That's the heart of the galaxy, Captain. Captain, we're dropping out of orbit! We're falling into the dead sun.",14
tas_000,tas_s1,1973,Beyond The Farthest Star,SPOCK,m,"[""I can only describe it as hypergravity, Captain, more powerful than any we've ever encountered. It's dragging the Enterprise toward it."", 'Negative star mass. Spectra analysis, imploded matter, but every reading on it is negative.', 'Impact in ninety three seconds. Ninety two. Ninety one.', 'Forty seconds, Captain. Thirty nine, thirty eight.', 'Nine seconds. Eight, seven. Orbital velocity.', ""I'll need some time for the computations, Captain."", ""Confirmed, Captain, but it isn't possible. That ship is dead. Temperature is absolute zero. There is no thermal reading to support life aboard her, and no energy store to send radio messages. Nothing except a slight magnetic flux reading which could be normal for the ship's metal."", 'Probability point nine nine seven, Captain.', ""Negative to both, Captain. Unknown alloy, harder and lighter than any registered metal. It is not a recorded galactic starship design. Retro analysis of the ship's spectra dates it as having been in orbit here for slightly more than three hundred million years."", 'No, Captain, but this far from a G1 star, it is logical to assume they had some kind of warp drive.', 'The hexagonal shape of the windows suggests a similarity to natural insect designs of Earth, the honeycombs of bees. The individual cells are shaped precisely like this.', 'A lighter and stronger material than anything we have now.', 'Accidents seldom have such system, Doctor McCoy. I believe we must consider the alternative possibility that the crew of this ship destroyed her themselves.', 'Captain, its registering energy. Very little, but building.', 'The wands are accumulators, receptors to attract energy, motion, sound, light, heat, every kind of energy around them.', 'A physiological symptom of latent primal superstition, the fear of primitive people confronting something unknown to them.', 'Artificial gravity is in effect here, Captain. Both air and gravity within two points of Earth normal.', 'No use, Captain. Some sort of interference has been set up.', ""The source of the interference is here, Captain. It's not part of the normal equipment. It's like something they jury-rigged during an emergency."", 'Possibly from whatever had come aboard their ship.', 'Quite right, Mister Scott. No known form of life.', 'Something is trying to get in. The field of interference is reacting against the magnetic flux lines, Captain.', 'If the energy stays at that level.', 'It is possible that this much of their technology survived.', 'I may be able to get a translation.', 'Patience, Doctor.', 'Automatic bridge defence system on and prepared, sir.', ""We're registering a slightly higher than normal magnetic flux. Not dangerous, but the level isn't constant. It seems to fluctuate, a steady, almost pulsing rhythm."", 'Trouble in the Engineering core, sir.', ""Something's jammed the circuits. They're magnetised."", 'Exactly like the Engineering controls and the life-support systems on decks five and six.', 'Power out on all but key levels, Captain. High magnetic flux reading.', 'It would have a very small field.', ""It's activated, Captain, but only an area three metres square."", 'Negative, Captain.', 'It has absorbed the memory banks, Captain, all of them.', 'Captain!', 'No, Captain.', ""I'm all right, Captain."", 'High rank probabilities, Captain. It is a magnetic organism without mass, but capable of symbiotic relationship with a host body, a starship for instance. It is a form of primal energy, and it can utilise the electronic control systems of a starship like the mind of a man uses the neural control systems of the human body. It has become the Enterprise, and we are only life-support organisms in its body like the white corpuscles in human blood. And Captain, the magnetic flux readings are higher. It is growing stronger, building itself.', 'The alien will know. I believe I can, Captain. I will need to aid Mister Scott.', 'Captain, this symbiont can reproduce itself by mitosis and take over every starship we encounter. It can control computer centres, whole planets.', 'Activated, Captain.', 'Affirmative. It fled the ship when it thought we would crash into the dead star.']","I can only describe it as hypergravity, Captain, more powerful than any we've ever encountered. It's dragging the Enterprise toward it. Negative star mass. Spectra analysis, imploded matter, but every reading on it is negative. Impact in ninety three seconds. Ninety two. Ninety one. Forty seconds, Captain. Thirty nine, thirty eight. Nine seconds. Eight, seven. Orbital velocity. I'll need some time for the computations, Captain. Confirmed, Captain, but it isn't possible. That ship is dead. Temperature is absolute zero. There is no thermal reading to support life aboard her, and no energy store to send radio messages. Nothing except a slight magnetic flux reading which could be normal for the ship's metal. Probability point nine nine seven, Captain. Negative to both, Captain. Unknown alloy, harder and lighter than any registered metal. It is not a recorded galactic starship design. Retro analysis of the ship's spectra dates it as having been in orbit here for slightly more than three hundred million years. No, Captain, but this far from a G1 star, it is logical to assume they had some kind of warp drive. The hexagonal shape of the windows suggests a similarity to natural insect designs of Earth, the honeycombs of bees. The individual cells are shaped precisely like this. A lighter and stronger material than anything we have now. Accidents seldom have such system, Doctor McCoy. I believe we must consider the alternative possibility that the crew of this ship destroyed her themselves. Captain, its registering energy. Very little, but building. The wands are accumulators, receptors to attract energy, motion, sound, light, heat, every kind of energy around them. A physiological symptom of latent primal superstition, the fear of primitive people confronting something unknown to them. Artificial gravity is in effect here, Captain. Both air and gravity within two points of Earth normal. No use, Captain. Some sort of interference has been set up. The source of the interference is here, Captain. It's not part of the normal equipment. It's like something they jury-rigged during an emergency. Possibly from whatever had come aboard their ship. Quite right, Mister Scott. No known form of life. Something is trying to get in. The field of interference is reacting against the magnetic flux lines, Captain. If the energy stays at that level. It is possible that this much of their technology survived. I may be able to get a translation. Patience, Doctor. Automatic bridge defence system on and prepared, sir. We're registering a slightly higher than normal magnetic flux. Not dangerous, but the level isn't constant. It seems to fluctuate, a steady, almost pulsing rhythm. Trouble in the Engineering core, sir. Something's jammed the circuits. They're magnetised. Exactly like the Engineering controls and the life-support systems on decks five and six. Power out on all but key levels, Captain. High magnetic flux reading. It would have a very small field. It's activated, Captain, but only an area three metres square. Negative, Captain. It has absorbed the memory banks, Captain, all of them. Captain! No, Captain. I'm all right, Captain. High rank probabilities, Captain. It is a magnetic organism without mass, but capable of symbiotic relationship with a host body, a starship for instance. It is a form of primal energy, and it can utilise the electronic control systems of a starship like the mind of a man uses the neural control systems of the human body. It has become the Enterprise, and we are only life-support organisms in its body like the white corpuscles in human blood. And Captain, the magnetic flux readings are higher. It is growing stronger, building itself. The alien will know. I believe I can, Captain. I will need to aid Mister Scott. Captain, this symbiont can reproduce itself by mitosis and take over every starship we encounter. It can control computer centres, whole planets. Activated, Captain. Affirmative. It fled the ship when it thought we would crash into the dead star.",44
tas_000,tas_s1,1973,Beyond The Farthest Star,UHURA,f,"[""Captain, that's the source of the radio emissions."", ""Captain, there's another signal. Listen."", ""I'm getting that radio sound again, sir. Nine seconds right ascension from galactic plane, dead ahead and closing fast. It's on the viewscreen now, sir."", ""It's coming from that ship, Captain."", ""It's beautiful. What kind of people could have built it, to touch even a starship with grace and beauty?"", 'Enterprise. Lieutenant Uhura here.', 'Negative, Captain. It stopped transmitting when you beamed aboard.', 'Transporter beam on and locked. Standing by.', 'Sickbay reports no injuries to crew, sir.', ""Bridge, Lieutenant. What? Captain, decks five and six report shutdown of all life-support systems. They've gone to life-support belts, manual override is not responding."", 'Sir, Cargo holds three, four and five just shut down life-support systems.', ""Captain Kirk, the ship's computers. Something's going through every storage bank. It seems to be taking control of the whole ship.""]","Captain, that's the source of the radio emissions. Captain, there's another signal. Listen. I'm getting that radio sound again, sir. Nine seconds right ascension from galactic plane, dead ahead and closing fast. It's on the viewscreen now, sir. It's coming from that ship, Captain. It's beautiful. What kind of people could have built it, to touch even a starship with grace and beauty? Enterprise. Lieutenant Uhura here. Negative, Captain. It stopped transmitting when you beamed aboard. Transporter beam on and locked. Standing by. Sickbay reports no injuries to crew, sir. Bridge, Lieutenant. What? Captain, decks five and six report shutdown of all life-support systems. They've gone to life-support belts, manual override is not responding. Sir, Cargo holds three, four and five just shut down life-support systems. Captain Kirk, the ship's computers. Something's going through every storage bank. It seems to be taking control of the whole ship.",12
tas_000,tas_s1,1973,Beyond The Farthest Star,MCCOY,m,"['If its pull is this strong, Jim, how do we get out of orbit?', ""It's a starship like nothing I've ever seen. The size of it."", 'Barely an instant in eternity, Jim.', 'Must have been some accident to get almost every pod.', ""Gives me the creeps. I feel like something's watching us."", ""You mean we're trapped here? No communication, nothing?"", 'Jim, the door.', 'What is it?', 'A message from three hundred million years ago?', 'Hurry up, Spock.', ""The force field of his belt won't hold that weight for long, Jim."", ""Jim, you don't think that's going to help us? Whatever that thing is, it survived millennia in a dead hulk. All it has to do is outlast us and just take over.""]","If its pull is this strong, Jim, how do we get out of orbit? It's a starship like nothing I've ever seen. The size of it. Barely an instant in eternity, Jim. Must have been some accident to get almost every pod. Gives me the creeps. I feel like something's watching us. You mean we're trapped here? No communication, nothing? Jim, the door. What is it? A message from three hundred million years ago? Hurry up, Spock. The force field of his belt won't hold that weight for long, Jim. Jim, you don't think that's going to help us? Whatever that thing is, it survived millennia in a dead hulk. All it has to do is outlast us and just take over.",12
tas_001,tas_s1,1973,Yesteryear,KIRK,m,"[""What a trip, Bones. Orion, at the dawn of its civilisation. Even just observing, not touching anything for fear of changing some piece of history. What's the matter? Bones?"", ""What do you mean, who's he? You know Mister Spock."", 'Kirk to Enterprise.', 'Beam up.', 'Explain yourself, Mister Scott.', ""I don't know what's going on, but the first officer of this ship will be treated with respect."", 'Who are you?', ""No, but if it's reality, what happened?"", 'But something was changed.', ""But I know who you are, and no one else aboard does. While we were in Orion's past, the time revision that took place here didn't affect me. Kirk here."", 'Your findings?', 'It is in this case.', ""If we didn't change anything while we were in the time vortex, someone else must have. Was the Guardian in use while we were gone?"", ""Was there any notation on the death of Ambassador Sarek's son?"", 'This cousin, what was his name?', 'Spock, did Selek look like you do now?', ""But this time, you were in Orion's past with us when the historians had the time vortex replay Vulcan history. You couldn't be in two places at once, so you died as a boy. Guardian! Did you hear that?"", 'Is it possible for Spock to return to Vulcan and repair the timeline that has been broken so all is the same as before?', 'You have to remember, for you and your mother to live.', ""You've got it. I'll order the wardrobe section to prepare it now."", 'Nice to know the crew is efficient in this time plane, too. Spock.', 'I sent the others up to the ship. What happened?', ""A pet? Well, that wouldn't mean much in the course of time."", 'Enterprise, this is the Captain. Two to beam up.', 'Welcome aboard, Mister Spock.']","What a trip, Bones. Orion, at the dawn of its civilisation. Even just observing, not touching anything for fear of changing some piece of history. What's the matter? Bones? What do you mean, who's he? You know Mister Spock. Kirk to Enterprise. Beam up. Explain yourself, Mister Scott. I don't know what's going on, but the first officer of this ship will be treated with respect. Who are you? No, but if it's reality, what happened? But something was changed. But I know who you are, and no one else aboard does. While we were in Orion's past, the time revision that took place here didn't affect me. Kirk here. Your findings? It is in this case. If we didn't change anything while we were in the time vortex, someone else must have. Was the Guardian in use while we were gone? Was there any notation on the death of Ambassador Sarek's son? This cousin, what was his name? Spock, did Selek look like you do now? But this time, you were in Orion's past with us when the historians had the time vortex replay Vulcan history. You couldn't be in two places at once, so you died as a boy. Guardian! Did you hear that? Is it possible for Spock to return to Vulcan and repair the timeline that has been broken so all is the same as before? You have to remember, for you and your mother to live. You've got it. I'll order the wardrobe section to prepare it now. Nice to know the crew is efficient in this time plane, too. Spock. I sent the others up to the ship. What happened? A pet? Well, that wouldn't mean much in the course of time. Enterprise, this is the Captain. Two to beam up. Welcome aboard, Mister Spock.",25
tas_001,tas_s1,1973,Yesteryear,MCCOY,m,"[""Who's he, Jim?"", ""Afraid I don't, Jim."", ""Oh, I thought sure you'd know Thelin by now, Jim. He's been your first officer for five years."", ""Well, well, well. So you two finally got back from your vacation. While you've been running all over Orion's creation, I've been running the annual crew physicals. You're the last ones."", ""Never mind the chit-chat. I've got my medical scanners all set up for a Vulcan. I have to recalibrate every time I run a physical on you, Spock."", ""What's that supposed to mean? If that was supposed to be a joke, Spock, I have to remind you Vulcans don't tell jokes.""]","Who's he, Jim? Afraid I don't, Jim. Oh, I thought sure you'd know Thelin by now, Jim. He's been your first officer for five years. Well, well, well. So you two finally got back from your vacation. While you've been running all over Orion's creation, I've been running the annual crew physicals. You're the last ones. Never mind the chit-chat. I've got my medical scanners all set up for a Vulcan. I have to recalibrate every time I run a physical on you, Spock. What's that supposed to mean? If that was supposed to be a joke, Spock, I have to remind you Vulcans don't tell jokes.",6
tas_001,tas_s1,1973,Yesteryear,SCOTT,m,"['Enterprise.', 'Aye, sir.', 'Captain, I was expecting there to be one of the historians with you. But a Vulcan?', 'Sir?', 'Two to beam up. Aye, sir.']","Enterprise. Aye, sir. Captain, I was expecting there to be one of the historians with you. But a Vulcan? Sir? Two to beam up. Aye, sir.",5
tas_001,tas_s1,1973,Yesteryear,SPOCK,m,"['Captain, I have come to the conclusion that this is not a game.', 'It seems, Captain, I am the only one affected. The mission, the ship, the crew, except for myself, remain the same.', 'That is not correct.', ""I wish to ask a question. What of Sarek's family, his wife and son?"", 'My mother. The son, what was his name and age when he died?', 'What time period?', 'The kahs-wan, a survival test traditional for young males.', 'The twentieth day of Tasmeen.', 'That was the day my cousin saved my life in the desert when I was attacked by a wild animal.', 'I do not recall clearly. I was very young. He called himself Selek. He was visiting us, but I never saw him after that.', ""I believe so, Captain. And I know what you're thinking. It was I who saved myself that other time."", ""I do not remember everything. There is a vague memory from a child's point of view, but the details are not clear."", 'Yes. I will need a Vulcan desert soft suit and boots, and a small selection of streetwear circa 8877 Vulcan years. The carry bag should be of the same period.', 'Andorians are not known for their charity.', 'And you in yours, Commander Thelin.', 'I wish to visit the planet Vulcan, thirty years past, the month of Tasmeen. Location, near the city of ShirKahr.', 'In the family, all is silence. No more will be said of it. Live long and prosper, Sarek of Vulcan.', ""My name is Selek, an humble cousin descended of T'Pel and Sasak. I am journeying to the family shrine to honour our gods."", 'I am honoured. Is something wrong, Cousin?', 'A family resemblance to our forefathers, no doubt.', 'No, my lady Amanda. Any child has much to learn. My young cousin has a more difficult road to travel than others.', 'It is difficult for a father to bear less than perfection in his son. Spock will find his way.', 'The boy goes through the kahs-wan ordeal soon, does he not?', 'But tomorrow is the twentieth day of Tasmeen.', 'I seem to have lost track of time.', 'Personal log, stardate 5373.9, subjective time. The timeline seems to have changed again. Yet I do not believe I have done anything to disrupt it. My memory is quite clear regarding the date my cousin saved my life, and it is tomorrow. The kahs-wan ordeal is an ancient rite of warrior days. When Vulcans turned to logic, they reasoned they must maintain the tests of courage and strength to keep pure logic from making them weak and helpless.', ""Of course. I should have remembered. It wasn't the actual kahs-wan ordeal."", 'I suggest we move away from this area before the le-matya regains consciousness.', 'It was my duty, Spock.', 'The lady Amanda is known for her graciousness.', 'I dare say you will. Come now.', 'I suspected you would go. You are worried about the kahs-wan ordeal.', ""That is your father's wish?"", 'She is a human woman, with strong emotion and sensitivities. She embarrasses you with those traits, and you are afraid when you see them in yourself.', 'There is some human blood in my family line. It is not fatal. What you do not yet understand, Spock, is that Vulcans do not lack emotion. It is only that ours is controlled. Logic offers a serenity humans seldom experience in full. We have emotions but we deal with them and do not let them control us.', 'The le-matya struck him with its poison claws in the fight.', 'Yes.', 'We cannot get him back to the city to a healer. He is too large to move.', 'You are a Vulcan. What is the logical thing to do?', 'It is a long journey across the desert. There are many dangers. I will go.', 'This did not happen before. My life decision was made without the sacrifice of yours, old friend. I know there is pain. I can help a little. Sleep now.', 'It will not be long now, old friend.', 'You made the desert crossing most efficiently. You will not disappoint Sarek in your kahs-wan.', 'A Vulcan would face such a loss without tears.', ""By understanding every life comes to an end when time demands it. Loss of life is to be mourned but only if the life was wasted. I-Chaya's was not."", 'I too must make my farewells. Your hospitality has been most kind, but I must journey on.', 'Try to understand your son, Sarek of Vulcan. It will be repayment enough for me.', 'I think I shall not. Peace and long life.', 'One small thing was changed this time. A pet died.', 'It might, to some.', 'Doctor McCoy, you do not know your good fortune. IF the times were different, you would have to recalibrate for an Andorian.', 'Times change, Doctor. Times change.']","Captain, I have come to the conclusion that this is not a game. It seems, Captain, I am the only one affected. The mission, the ship, the crew, except for myself, remain the same. That is not correct. I wish to ask a question. What of Sarek's family, his wife and son? My mother. The son, what was his name and age when he died? What time period? The kahs-wan, a survival test traditional for young males. The twentieth day of Tasmeen. That was the day my cousin saved my life in the desert when I was attacked by a wild animal. I do not recall clearly. I was very young. He called himself Selek. He was visiting us, but I never saw him after that. I believe so, Captain. And I know what you're thinking. It was I who saved myself that other time. I do not remember everything. There is a vague memory from a child's point of view, but the details are not clear. Yes. I will need a Vulcan desert soft suit and boots, and a small selection of streetwear circa 8877 Vulcan years. The carry bag should be of the same period. Andorians are not known for their charity. And you in yours, Commander Thelin. I wish to visit the planet Vulcan, thirty years past, the month of Tasmeen. Location, near the city of ShirKahr. In the family, all is silence. No more will be said of it. Live long and prosper, Sarek of Vulcan. My name is Selek, an humble cousin descended of T'Pel and Sasak. I am journeying to the family shrine to honour our gods. I am honoured. Is something wrong, Cousin? A family resemblance to our forefathers, no doubt. No, my lady Amanda. Any child has much to learn. My young cousin has a more difficult road to travel than others. It is difficult for a father to bear less than perfection in his son. Spock will find his way. The boy goes through the kahs-wan ordeal soon, does he not? But tomorrow is the twentieth day of Tasmeen. I seem to have lost track of time. Personal log, stardate 5373.9, subjective time. The timeline seems to have changed again. Yet I do not believe I have done anything to disrupt it. My memory is quite clear regarding the date my cousin saved my life, and it is tomorrow. The kahs-wan ordeal is an ancient rite of warrior days. When Vulcans turned to logic, they reasoned they must maintain the tests of courage and strength to keep pure logic from making them weak and helpless. Of course. I should have remembered. It wasn't the actual kahs-wan ordeal. I suggest we move away from this area before the le-matya regains consciousness. It was my duty, Spock. The lady Amanda is known for her graciousness. I dare say you will. Come now. I suspected you would go. You are worried about the kahs-wan ordeal. That is your father's wish? She is a human woman, with strong emotion and sensitivities. She embarrasses you with those traits, and you are afraid when you see them in yourself. There is some human blood in my family line. It is not fatal. What you do not yet understand, Spock, is that Vulcans do not lack emotion. It is only that ours is controlled. Logic offers a serenity humans seldom experience in full. We have emotions but we deal with them and do not let them control us. The le-matya struck him with its poison claws in the fight. Yes. We cannot get him back to the city to a healer. He is too large to move. You are a Vulcan. What is the logical thing to do? It is a long journey across the desert. There are many dangers. I will go. This did not happen before. My life decision was made without the sacrifice of yours, old friend. I know there is pain. I can help a little. Sleep now. It will not be long now, old friend. You made the desert crossing most efficiently. You will not disappoint Sarek in your kahs-wan. A Vulcan would face such a loss without tears. By understanding every life comes to an end when time demands it. Loss of life is to be mourned but only if the life was wasted. I-Chaya's was not. I too must make my farewells. Your hospitality has been most kind, but I must journey on. Try to understand your son, Sarek of Vulcan. It will be repayment enough for me. I think I shall not. Peace and long life. One small thing was changed this time. A pet died. It might, to some. Doctor McCoy, you do not know your good fortune. IF the times were different, you would have to recalibrate for an Andorian. Times change, Doctor. Times change.",52
